,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ridge__alpha,param_ridge__max_iter,param_ridge__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
0,0.19203680753707886,0.02428647994851537,0.00618356466293335,0.0033538052983775658,1.0,100000,saga,"{'ridge__alpha': 1.0, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-6.4943865664078,-5.45056924727806,-5.668820182991627,-35.74855649500535,-13.34058312292071,12.943105727555949,7,-13.698447635345994,-14.052485835528014,-13.917870104777727,-4.497648455182709,-11.541613007708612,4.068797499786339
1,0.16409331560134888,0.03794227658818891,0.006125271320343018,0.0023678005889420928,2.154434690031884,100000,saga,"{'ridge__alpha': 2.154434690031884, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-6.4120003144004025,-5.355813586762795,-5.627603700074843,-35.65750152798227,-13.263229782305078,12.935153350446605,5,-13.775959230616088,-14.116334844725811,-13.991720323775489,-4.565812256131127,-11.612456663812129,4.070203995911848
2,0.09203249216079712,0.022198778965376205,0.0022071003913879395,4.3576295011115374e-05,4.641588833612778,100000,saga,"{'ridge__alpha': 4.641588833612778, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-6.312734658086911,-5.233814180404612,-5.583785338547923,-35.5977201666422,-13.18201358592041,12.947565802018563,3,-13.890953173410532,-14.234657446639803,-14.106159329621894,-4.6848501142873635,-11.729155015989898,4.06888482137905
3,0.05745953321456909,0.019230433752787723,0.0057408809661865234,0.002351467904650875,10.0,100000,saga,"{'ridge__alpha': 10.0, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-6.187647964449264,-5.1156373483011555,-5.561727071668172,-35.638096879785444,-13.125777316051009,13.003070497403195,1,-14.071182365486859,-14.439802916243885,-14.296281824738346,-4.853238058727667,-11.91512629129919,4.079299478444299
4,0.03214007616043091,0.007096887765936164,0.0046697258949279785,0.0025900892468323534,21.544346900318832,100000,saga,"{'ridge__alpha': 21.544346900318832, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-6.064151301389062,-5.048126023100612,-5.591678864237567,-35.80743396822637,-13.127847539238402,13.098999801577847,2,-14.35424797591561,-14.73386419010592,-14.571560293249792,-5.056312315180154,-12.178996193612868,4.11448840680322
5,0.019222259521484375,0.006888263449351733,0.0023934245109558105,0.0005357057866764614,46.41588833612777,100000,saga,"{'ridge__alpha': 46.41588833612777, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-5.999598710376168,-5.060551546445799,-5.698646159417053,-36.05501125462326,-13.203451917715569,13.19771003893595,4,-14.7386839199086,-15.107809074948365,-14.92284795811712,-5.269274566279829,-12.509653879813479,4.182271619618298
6,0.013584315776824951,0.002152024552260842,0.0030281543731689453,0.0018532360579866288,100.0,100000,saga,"{'ridge__alpha': 100.0, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-6.025454962858499,-5.1513688114872895,-5.872622463105532,-36.28874356451744,-13.33454745049219,13.256721779810109,6,-15.16459596445102,-15.50327868724795,-15.293826134076735,-5.477192412518742,-12.859723299573611,4.264019289246251
7,0.015180826187133789,0.003566702120381411,0.0020418167114257812,9.252745226781859e-05,215.44346900318823,100000,saga,"{'ridge__alpha': 215.44346900318823, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-6.123250965154154,-5.293778203077414,-6.071260116202676,-36.463492185851116,-13.48794536757134,13.269005905469152,8,-15.548794833240446,-15.859883785688119,-15.62282325036908,-5.6816643178872726,-13.17829154679623,4.3297048925336705
8,0.01182466745376587,0.0033638841540630056,0.0020421743392944336,0.00013819585937882657,464.15888336127773,100000,saga,"{'ridge__alpha': 464.15888336127773, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-6.257272477097517,-5.456333143015056,-6.255435720005964,-36.601839878899455,-13.642720304754498,13.259476983773578,9,-15.856381988261875,-16.14637580226291,-15.888883564372621,-5.883219872291263,-13.443715306797166,4.3664995503446535
9,0.010766804218292236,0.0030831420690250557,0.0022017955780029297,7.876315724425801e-05,1000.0,100000,saga,"{'ridge__alpha': 1000.0, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-6.396523886046311,-5.614847030060544,-6.409612274520453,-36.73160595300097,-13.788147285907069,13.25032082706391,10,-16.089861781059998,-16.365057306875645,-16.10065541521294,-6.066952773238913,-13.655631819096874,4.382711832534517
