,label,predicted
751,82.25,80.93900898795876
973,81.17,81.18908331010987
372,83.5,82.48353423905368
279,83.83,83.00383666857535
769,82.17,81.40380229300543
16,87.42,82.74173402647457
857,81.83,83.14035914498625
818,81.92,82.24812264734831
610,82.67,82.60220469586352
763,82.17,80.8723967083119
990,81.08,82.07880118504319
1270,76.08,81.314325647847
1272,75.83,82.4394053744304
790,82.08,82.42947589402624
947,81.42,82.65940181596842
1084,80.42,80.93827490022764
691,82.42,82.34698421243607
854,81.83,81.31310216829513
1027,80.92,81.53419747918117
433,83.25,81.93000579644664
827,81.92,80.934762622007
333,83.67,81.85453368313381
1235,78.0,82.59248696332222
298,83.75,82.39795530547983
1030,80.83,82.84374899955304
341,83.58,83.89975413595204
708,82.33,82.76681354955372
523,83.0,82.34710656039127
259,83.92,81.24591727403197
807,82.0,82.67991218842887
255,84.0,83.39389574928525
354,83.5,83.21673708853886
783,82.08,82.12842962754085
451,83.17,81.87355260676327
1106,80.17,82.03998958187107
272,83.92,81.34085643546518
568,82.83,83.280901122712
721,82.33,81.53272930371894
49,86.0,82.89310921289658
2,89.75,82.3456094355716
1222,78.5,80.68685921628143
271,83.92,81.22029894995137
917,81.5,82.0217519613998
847,81.83,82.41615176165162
367,83.5,81.57667925016122
478,83.08,82.90053159231394
873,81.67,81.25386361192284
516,83.0,83.21673708853886
598,82.75,82.39964199030415
112,84.92,82.41566236983087
377,83.42,82.35350780540661
80,85.33,82.95982502495522
307,83.75,82.34710656039127
759,82.17,81.93644399318981
774,82.17,80.83785326269896
1089,80.33,81.9130761655287
332,83.67,81.44600719839971
251,84.0,82.49434355835685
100,85.0,82.76634492767423
348,83.58,81.29297022784938
243,84.0,81.75359456707915
21,87.17,82.04996393208017
553,82.92,81.24960115999973
136,84.67,82.9017501779476
1122,80.0,81.63489991355222
1200,79.0,82.47605487425483
848,81.83,81.277958724721
595,82.75,81.95232142297813
971,81.17,82.3081831404652
330,83.67,81.93000579644664
1288,74.33,80.73650178071084
638,82.58,82.07455043555916
317,83.67,81.63489991355222
1047,80.75,81.17256655414405
1305,69.17,80.92224048321069
156,84.58,82.3487305764296
1033,80.83,80.88769703759773
125,84.67,83.00108796637673
730,82.33,82.24732175030789
1274,75.58,81.93000579644664
870,81.67,82.41717948447518
648,82.58,82.34710656039127
383,83.42,82.61546989426424
773,82.17,81.60049726944347
244,84.0,82.61473545349101
680,82.42,82.43755415548314
1236,78.0,81.33545152883632
603,82.75,82.34698421243607
737,82.25,83.00383666857535
252,84.0,82.34735125630164
153,84.58,82.9007713943061
227,84.17,82.72687740235591
874,81.67,82.5004459623821
613,82.67,83.00383666857535
262,83.92,81.52979295279447
555,82.92,80.7352293619769
1205,78.92,80.48552654940332
643,82.58,82.00703033796778
866,81.75,81.18737043873726
699,82.42,81.71910944627788
440,83.17,82.41717948447518
1134,79.92,82.37417470136292
1023,80.92,81.6358786971937
518,83.0,80.88940990897035
310,83.75,82.14996100868757
362,83.5,81.84995538610669
893,81.67,81.53687491627952
1016,80.92,81.36539290229764
62,85.58,82.4970222114503
1202,79.0,81.03068129496197
1190,79.17,80.73498466606654
305,83.75,83.16864498331623
107,84.92,82.29665104571654
994,81.08,80.83638508723672
967,81.25,82.07760706900058
599,82.75,80.83516160768485
130,84.67,81.9974285021673
1099,80.25,81.58627961820528
919,81.5,81.91321742368838
1149,79.75,82.40819168580846
1036,80.83,83.34120242004363
19,87.25,84.1366506291437
979,81.17,81.79617422185444
1072,80.5,82.42795009595841
90,85.08,83.61014540582903
852,81.83,82.69882466981964
