,label,predicted
659,82.5,82.30312500000001
547,82.92,82.75625
133,84.67,81.958125
452,83.17,83.97874999999999
544,82.92,83.6675
589,82.75,82.379375
189,84.33,84.92125
225,84.17,82.171875
900,81.58,81.213125
1187,79.17,80.83375000000001
709,82.33,83.2875
347,83.58,83.21875
1086,80.33,77.6775
395,83.38,82.42625
852,81.83,83.77625
825,81.92,81.9375
760,82.17,82.30312500000001
571,82.83,83.21875
516,83.0,82.84875
534,82.92,82.026875
634,82.58,81.87
1085,80.42,81.083125
983,81.17,82.82375
1218,78.58,81.063125
1126,80.0,82.16624999999999
335,83.58,83.120625
481,83.08,82.11000000000001
907,81.58,84.416875
19,87.25,84.19312500000001
1274,75.58,80.78125
974,81.17,82.4125
249,84.0,83.47437500000001
748,82.25,80.66624999999999
1002,81.0,83.140625
157,84.58,82.510625
592,82.75,83.265
646,82.58,83.12
799,82.0,82.344375
261,83.92,83.13125000000001
220,84.17,84.25
92,85.08,83.5
16,87.42,84.421875
191,84.25,81.855
616,82.67,82.646875
429,83.25,80.516875
1299,71.08,80.64750000000001
988,81.08,81.83375000000001
1179,79.33,78.90125
1213,78.67,80.80687499999999
746,82.25,80.78125
654,82.5,81.9025
527,83.0,82.34375
367,83.5,81.323125
446,83.17,79.344375
1219,78.58,81.963125
274,83.83,83.140625
1082,80.42,82.81312500000001
557,82.92,82.63562499999999
1168,79.58,82.770625
391,83.42,83.21375
434,83.25,82.655625
246,84.0,82.22375
160,84.5,83.10374999999999
403,83.33,81.215625
965,81.25,79.40687500000001
84,85.25,83.104375
1176,79.42,79.58875
387,83.42,82.145625
688,82.42,82.026875
952,81.33,81.898125
1290,73.83,80.66624999999999
1158,79.67,82.604375
972,81.17,81.595
1161,79.67,80.88
1277,75.17,80.98
1175,79.42,80.51499999999999
96,85.0,83.81812500000001
188,84.33,84.16125
1204,78.92,80.63499999999999
817,81.92,76.94187500000001
969,81.25,82.781875
1003,81.0,80.671875
32,86.42,83.11000000000001
389,83.42,80.78125
57,85.83,82.47562500000001
164,84.5,80.78125
793,82.08,82.34375
971,81.17,82.671875
1209,78.75,79.890625
56,85.83,84.40125
1118,80.08,81.62562500000001
448,83.17,83.1875
227,84.17,83.109375
122,84.75,79.193125
1005,81.0,76.51625000000001
396,83.33,83.275
1177,79.33,81.360625
929,81.5,82.38250000000001
269,83.92,82.16749999999999
979,81.17,82.35375
698,82.42,80.07749999999999
281,83.83,85.364375
1094,80.25,82.56812500000001
505,83.0,81.42250000000001
517,83.0,83.21875
708,82.33,83.12062499999999
1027,80.92,81.729375
1022,80.92,83.120625
470,83.17,82.354375
1240,78.0,80.78125
1077,80.5,82.391875
1013,80.92,82.775
195,84.25,82.7925
788,82.08,80.558125
1239,78.0,82.0525
328,83.67,83.198125
594,82.75,82.08375000000001
759,82.17,82.12
376,83.42,82.19875
854,81.83,80.516875
507,83.0,82.16749999999999
1225,78.42,79.16187500000001
399,83.33,82.34375
341,83.58,85.004375
213,84.17,82.781875
1171,79.5,83.140625
855,81.83,81.11937499999999
511,83.0,81.958125
794,82.0,82.66125
1096,80.25,82.125
953,81.33,82.65687500000001
742,82.25,81.610625
820,81.92,80.83375000000001
918,81.5,80.8125
692,82.42,80.16624999999999
455,83.17,83.37375
1054,80.67,80.66625
162,84.5,83.09
730,82.33,82.55812499999999
769,82.17,81.9375
90,85.08,85.468125
1099,80.25,81.52625
54,85.92,83.31687500000001
588,82.75,82.28125
945,81.42,81.083125
153,84.58,83.140625
615,82.67,82.39125
993,81.08,79.31812500000001
888,81.67,81.42750000000001
375,83.42,83.140625
463,83.17,80.78125
358,83.5,81.85000000000001
520,83.0,80.516875
302,83.75,83.33875
1097,80.25,83.18187499999999
1115,80.08,82.1675
572,82.83,82.50625000000001
1030,80.83,82.234375
1306,68.33,80.53687500000001
540,82.92,84.578125
650,82.58,80.66624999999999
27,86.83,83.86
1081,80.42,82.50625000000001
1193,79.08,81.2925
870,81.67,83.120625
279,83.83,82.11000000000001
1122,80.0,82.166875
1269,76.17,83.99437499999999
466,83.17,80.17250000000001
552,82.92,83.49000000000001
1016,80.92,80.516875
436,83.25,83.21875
464,83.17,81.410625
865,81.75,81.48875
216,84.17,83.275625
1156,79.75,81.37562500000001
566,82.83,82.766875
492,83.08,82.92625
777,82.08,81.813125
1039,80.75,82.781875
886,81.67,81.730625
141,84.67,83.370625
287,83.83,83.198125
1084,80.42,81.19749999999999
920,81.5,82.15062499999999
673,82.5,84.16624999999999
1183,79.25,81.13125
832,81.92,82.34375
1191,79.17,82.615
1056,80.67,82.298125
545,82.92,83.65187499999999
539,82.92,82.755625
304,83.75,83.140625
814,82.0,82.4425
208,84.25,80.485
680,82.42,83.1875
958,81.33,79.406875
695,82.42,80.973125
291,83.83,82.8175
460,83.17,81.17625
861,81.75,82.24562499999999
271,83.92,81.213125
357,83.5,82.42250000000001
28,86.67,76.926875
1028,80.92,80.306875
1110,80.17,79.916875
1233,78.17,82.18375
85,85.25,83.59875
717,82.33,81.995
174,84.42,83.140625
938,81.42,81.834375
381,83.42,81.85625
272,83.92,82.7025
310,83.75,82.76624999999999
355,83.5,82.32749999999999
316,83.67,79.755
523,83.0,83.198125
