,label,predicted
751,82.25,81.27190325603699
973,81.17,81.45011155719756
372,83.5,82.79562885314903
279,83.83,82.79562885314903
769,82.17,81.96849144087736
16,87.42,82.64587598135415
857,81.83,82.54604073349091
818,81.92,82.24653498990116
610,82.67,82.79562885314903
763,82.17,81.0507981448493
990,81.08,82.14669974203792
1270,76.08,81.45011155719756
1272,75.83,82.19661736596954
790,82.08,82.19661736596954
947,81.42,82.24653498990116
1084,80.42,81.27190325603699
691,82.42,82.24653498990116
854,81.83,81.45011155719756
1027,80.92,81.96849144087736
433,83.25,82.24653498990116
827,81.92,81.12215038424212
333,83.67,82.2964526138328
1235,78.0,82.79562885314903
298,83.75,82.5175853041252
1030,80.83,82.79562885314903
341,83.58,82.80151021762144
708,82.33,82.24653498990116
523,83.0,82.24653498990116
259,83.92,81.50002918112918
807,82.0,82.24653498990116
255,84.0,82.79562885314903
354,83.5,82.79562885314903
783,82.08,82.19661736596954
451,83.17,82.19661736596954
1106,80.17,82.24653498990116
272,83.92,81.22198563210537
568,82.83,82.79562885314903
721,82.33,81.96849144087736
49,86.0,82.2964526138328
2,89.75,82.79562885314903
1222,78.5,81.17206800817375
271,83.92,81.17206800817375
917,81.5,82.19661736596954
847,81.83,82.24653498990116
367,83.5,81.40019393326594
478,83.08,82.79562885314903
873,81.67,81.0507981448493
516,83.0,82.79562885314903
598,82.75,82.2964526138328
112,84.92,82.24653498990116
377,83.42,82.24653498990116
80,85.33,82.79562885314903
307,83.75,82.24653498990116
759,82.17,82.14669974203792
774,82.17,81.17206800817375
1089,80.33,82.24653498990116
332,83.67,81.91857381694574
251,84.0,82.2964526138328
100,85.0,82.24653498990116
348,83.58,81.17206800817375
243,84.0,82.19661736596954
21,87.17,82.24653498990116
553,82.92,81.27190325603699
136,84.67,82.79562885314903
1122,80.0,82.2964526138328
1200,79.0,82.5175853041252
848,81.83,81.10071576878092
595,82.75,81.91857381694574
971,81.17,82.34637023776442
330,83.67,82.24653498990116
1288,74.33,81.0722327603105
638,82.58,81.8686561930141
317,83.67,82.2964526138328
1047,80.75,81.91857381694574
1305,69.17,81.10071576878092
156,84.58,82.19661736596954
1033,80.83,81.22198563210537
125,84.67,82.79562885314903
730,82.33,82.19661736596954
1274,75.58,82.24653498990116
870,81.67,82.24653498990116
648,82.58,82.24653498990116
383,83.42,82.19661736596954
773,82.17,82.19661736596954
244,84.0,82.24653498990116
680,82.42,82.2964526138328
1236,78.0,81.0507981448493
603,82.75,82.24653498990116
737,82.25,82.79562885314903
252,84.0,82.24653498990116
153,84.58,82.79562885314903
227,84.17,82.24653498990116
874,81.67,82.79562885314903
613,82.67,82.79562885314903
262,83.92,81.96849144087736
555,82.92,81.0722327603105
1205,78.92,80.97239751244726
643,82.58,82.24653498990116
866,81.75,81.45011155719756
699,82.42,81.40019393326594
440,83.17,82.24653498990116
1134,79.92,82.04912304437704
1023,80.92,82.2964526138328
518,83.0,81.22198563210537
310,83.75,82.24653498990116
362,83.5,82.2964526138328
893,81.67,81.50002918112918
1016,80.92,81.50002918112918
62,85.58,82.2964526138328
1202,79.0,81.0722327603105
1190,79.17,81.0722327603105
305,83.75,82.79562885314903
107,84.92,82.19661736596954
994,81.08,81.17206800817375
967,81.25,82.14669974203792
599,82.75,81.17206800817375
130,84.67,82.19661736596954
1099,80.25,82.24653498990116
919,81.5,81.96849144087736
1149,79.75,82.2964526138328
1036,80.83,82.7457112292174
19,87.25,82.80151021762144
979,81.17,82.19661736596954
1072,80.5,82.24653498990116
90,85.08,82.30233397830521
852,81.83,82.19661736596954
84,85.25,82.24653498990116
622,82.67,82.24653498990116
679,82.42,82.24653498990116
386,83.42,82.19661736596954
465,83.17,81.17206800817375
948,81.42,81.99694687024305
280,83.83,82.5175853041252
1043,80.75,81.15063339271255
863,81.75,81.40019393326594
903,81.58,82.19661736596954
636,82.58,82.24653498990116
543,82.92,82.24653498990116
1091,80.33,81.22198563210537
459,83.17,81.0507981448493
898,81.58,82.19661736596954
312,83.75,82.49612310955929
96,85.0,82.24653498990116
395,83.38,81.59986442899243
349,83.58,82.24653498990116
506,83.0,82.79562885314903
189,84.33,82.80151021762144
1022,80.92,82.2964526138328
535,82.92,82.24653498990116
991,81.08,82.14669974203792
109,84.92,82.19661736596954
131,84.67,82.30233397830521
51,86.0,82.79562885314903
1024,80.92,82.19661736596954
682,82.42,82.14669974203792
1279,75.17,81.12215038424212
1209,78.75,81.0722327603105
35,86.25,82.19661736596954
118,84.83,82.30233397830521
615,82.67,82.19661736596954
944,81.42,82.19661736596954
1168,79.58,81.94702924631143
1010,81.0,82.79562885314903
924,81.5,81.17206800817375
224,84.17,82.39628786169604
458,83.17,81.10071576878092
204,84.25,82.24653498990116
999,81.0,82.79562885314903
920,81.5,82.79562885314903
757,82.17,81.0507981448493
406,83.33,82.24653498990116
277,83.83,82.24653498990116
1151,79.75,81.40019393326594
789,82.08,81.22198563210537
221,84.17,82.14669974203792
61,85.75,82.19661736596954
441,83.17,82.2964526138328
534,82.92,82.79562885314903
1263,76.42,81.12215038424212
150,84.58,82.79562885314903
1105,80.17,82.79562885314903
980,81.17,82.24653498990116
89,85.08,82.79562885314903
1159,79.67,82.19661736596954
554,82.92,82.79562885314903
1177,79.33,82.14669974203792
541,82.92,81.12215038424212
1068,80.5,82.79562885314903
795,82.0,81.10071576878092
804,82.0,81.0507981448493
429,83.25,81.45011155719756
175,84.42,81.96849144087736
551,82.92,82.24653498990116
1234,78.08,81.22198563210537
846,81.83,82.14669974203792
92,85.08,82.24653498990116
631,82.67,82.39628786169604
1095,80.25,81.10071576878092
42,86.17,82.7457112292174
25,86.92,82.19661736596954
1289,74.0,81.12215038424212
709,82.33,82.2964526138328
1135,79.92,81.50002918112918
1042,80.75,82.24653498990116
344,83.58,82.19661736596954
235,84.08,82.79562885314903
147,84.58,82.2964526138328
359,83.5,82.30233397830521
110,84.92,82.24653498990116
1142,79.83,81.17206800817375
162,84.5,82.19661736596954
768,82.17,81.54994680506081
842,81.83,81.00088052091768
50,86.0,82.75159259368982
935,81.42,82.2964526138328
158,84.5,82.2964526138328
208,84.25,81.54994680506081
