,label,predicted
320,83.67,81.953125
608,82.67,83.34375
439,83.25,82.921875
563,82.83,82.140625
171,84.42,83.484375
592,82.75,84.203125
63,85.58,82.53125
18,87.25,83.421875
571,82.83,82.90625
553,82.92,81.15625
269,83.92,81.515625
726,82.33,82.078125
1243,77.92,82.390625
512,83.0,83.171875
500,83.0,84.359375
783,82.08,82.078125
317,83.67,79.65625
823,81.92,84.109375
347,83.58,82.90625
837,81.83,82.109375
507,83.0,81.46875
965,81.25,78.640625
44,86.08,84.609375
968,81.25,81.875
399,83.33,82.703125
729,82.33,82.109375
370,83.5,82.125
1161,79.67,80.546875
731,82.33,80.5625
1233,78.17,86.09375
1174,79.42,82.109375
361,83.5,82.90625
244,84.0,82.953125
201,84.25,82.078125
535,82.92,82.90625
890,81.67,80.921875
204,84.25,82.90625
13,87.92,86.0625
1269,76.17,83.21875
980,81.17,82.34375
665,82.5,82.078125
480,83.08,82.96875
605,82.75,83.578125
1190,79.17,80.5
1228,78.33,82.078125
159,84.5,83.65625
574,82.83,81.9375
1259,77.0,77.984375
1003,81.0,82.078125
1139,79.83,85.84375
688,82.42,83.015625
1039,80.75,82.078125
779,82.08,82.828125
368,83.5,81.046875
791,82.08,80.5625
1171,79.5,83.171875
655,82.5,78.765625
460,83.17,82.0625
1178,79.33,83.171875
304,83.75,83.171875
1175,79.42,82.1875
730,82.33,82.453125
14,87.83,84.421875
524,83.0,82.109375
221,84.17,82.0625
428,83.25,82.90625
10,88.08,88.71875
412,83.33,83.3125
263,83.92,81.40625
225,84.17,82.46875
1121,80.08,80.5
888,81.67,82.078125
206,84.25,81.03125
1053,80.67,81.65625
9,88.25,85.09375
1087,80.33,81.984375
581,82.75,82.109375
385,83.42,81.984375
1209,78.75,80.5
325,83.67,83.171875
1163,79.67,82.1875
954,81.33,78.703125
1179,79.33,79.921875
84,85.25,82.90625
554,82.92,81.4375
900,81.58,81.65625
1159,79.67,84.046875
112,84.92,82.828125
1017,80.92,81.109375
309,83.75,80.890625
550,82.92,84.25
1078,80.5,79.90625
1251,77.5,80.53125
1118,80.08,81.390625
103,85.0,79.140625
698,82.42,80.921875
1099,80.25,79.625
1184,79.17,82.109375
502,83.0,80.390625
1028,80.92,80.53125
912,81.5,78.765625
849,81.83,80.5625
523,83.0,82.90625
579,82.75,82.09375
1140,79.83,82.109375
970,81.25,80.546875
766,82.17,82.078125
1075,80.5,82.125
993,81.08,79.953125
638,82.58,84.296875
686,82.42,83.703125
1218,78.58,80.53125
719,82.33,82.9375
218,84.17,84.375
8,88.42,84.46875
28,86.67,74.921875
992,81.08,81.96875
819,81.92,82.609375
35,86.25,85.515625
515,83.0,83.46875
603,82.75,82.90625
92,85.08,83.46875
235,84.08,84.515625
1255,77.33,79.90625
911,81.5,78.640625
807,82.0,83.5
641,82.58,83.421875
874,81.67,80.796875
865,81.75,80.5625
131,84.67,86.5
947,81.42,83.46875
331,83.67,80.546875
442,83.17,82.0
885,81.67,81.875
680,82.42,83.421875
110,84.92,82.90625
820,81.92,82.015625
940,81.42,83.09375
448,83.17,83.421875
494,83.08,83.28125
141,84.67,84.90625
1102,80.25,81.875
174,84.42,83.171875
48,86.0,83.515625
118,84.83,84.3125
437,83.25,82.828125
566,82.83,82.75
1009,81.0,81.875
610,82.67,82.390625
1027,80.92,81.390625
241,84.0,85.53125
595,82.75,82.515625
1110,80.17,80.5
1261,76.75,78.359375
56,85.83,86.796875
1238,78.0,82.1875
74,85.42,82.703125
107,84.92,82.890625
790,82.08,81.71875
586,82.75,84.234375
452,83.17,84.0625
33,86.33,83.71875
640,82.58,81.71875
565,82.83,82.078125
734,82.25,82.234375
1239,78.0,81.390625
711,82.33,83.65625
377,83.42,82.90625
1277,75.17,80.5625
312,83.75,82.875
897,81.58,82.46875
1047,80.75,76.9375
15,87.58,86.609375
706,82.33,82.765625
1180,79.33,80.5
11,87.92,86.609375
723,82.33,83.171875
289,83.83,81.515625
71,85.42,83.640625
1206,78.83,78.671875
1307,67.92,78.5
369,83.5,81.328125
135,84.67,81.390625
801,82.0,81.4375
994,81.08,80.546875
12,87.92,86.609375
892,81.67,80.921875
1151,79.75,80.890625
143,84.67,84.078125
1085,80.42,80.90625
617,82.67,81.46875
348,83.58,81.890625
929,81.5,83.203125
620,82.67,81.390625
1306,68.33,80.34375
705,82.33,78.765625
1204,78.92,80.546875
659,82.5,82.078125
1137,79.92,80.5625
613,82.67,83.015625
268,83.92,83.171875
704,82.42,82.96875
1079,80.42,77.25
850,81.83,83.671875
941,81.42,82.109375
133,84.67,82.34375
701,82.42,85.078125
957,81.33,81.65625
191,84.25,82.421875
670,82.5,84.046875
562,82.83,82.390625
879,81.67,82.078125
1081,80.42,82.875
238,84.08,80.5625
371,83.5,82.90625
542,82.92,81.421875
945,81.42,80.3125
