,label,predicted
751,82.25,81.44476417354636
973,81.17,81.48851329191466
372,83.5,82.06753927237858
279,83.83,82.2546974537192
769,82.17,81.87253610478295
16,87.42,82.3877482930604
857,81.83,82.72523086035966
818,81.92,82.13080655830376
610,82.67,82.11505768706533
763,82.17,81.45888362723512
990,81.08,81.90859435949716
1270,76.08,81.57574795511185
1272,75.83,82.01716281349164
790,82.08,82.05686226368017
947,81.42,82.64167313471793
1084,80.42,81.47617553022775
691,82.42,82.60231607929433
854,81.83,81.64886535552496
1027,80.92,81.78537957789713
433,83.25,81.99460895831834
827,81.92,81.26326088733664
333,83.67,82.01732622327188
1235,78.0,82.0618122358534
298,83.75,82.06712697940827
1030,80.83,82.1489139876431
341,83.58,83.56159402124436
708,82.33,82.22538032686074
523,83.0,82.60231607929433
259,83.92,81.62109619324836
807,82.0,82.22079355775233
255,84.0,82.73931661837825
354,83.5,82.43298783019854
783,82.08,82.3081715618073
451,83.17,82.2292131487904
1106,80.17,81.95582899308693
272,83.92,81.59239276233001
568,82.83,82.45777369200812
721,82.33,81.81559101580564
49,86.0,82.66045270218132
2,89.75,82.53473622212243
1222,78.5,81.18223548003063
271,83.92,81.49163435549947
917,81.5,82.2977351785527
847,81.83,82.1930139792054
367,83.5,81.73666670192517
478,83.08,82.66935641504395
873,81.67,81.76309363992122
516,83.0,82.43298783019854
598,82.75,82.21795589817916
112,84.92,82.1930139792054
377,83.42,82.20865925542323
80,85.33,82.2376948213449
307,83.75,82.60231607929433
759,82.17,82.20195093332065
774,82.17,81.40662464889644
1089,80.33,82.0501843995426
332,83.67,81.75293848046799
251,84.0,82.2250226570943
100,85.0,82.18054106029021
348,83.58,81.44760533899256
243,84.0,81.80322866056083
21,87.17,82.02745096930119
553,82.92,81.74082270501677
136,84.67,82.33019453281753
1122,80.0,81.80430285762007
1200,79.0,81.86929818165324
848,81.83,81.39238222330069
595,82.75,81.92600504993976
971,81.17,82.03784979934586
330,83.67,81.99460895831834
1288,74.33,81.32757148647596
638,82.58,81.79895776251635
317,83.67,81.80430285762007
1047,80.75,80.5138309126196
1305,69.17,81.46601768665542
156,84.58,82.05909580286308
1033,80.83,81.47018987738598
125,84.67,82.14396997919076
730,82.33,82.08349594469907
1274,75.58,81.99460895831834
870,81.67,82.18508891654875
648,82.58,82.60231607929433
383,83.42,82.16989284560131
773,82.17,81.57893713052053
244,84.0,82.58477533434319
680,82.42,82.5782570535702
1236,78.0,81.51717995952028
603,82.75,82.60231607929433
737,82.25,82.2546974537192
252,84.0,82.60231607929433
153,84.58,82.66935641504395
227,84.17,82.25426444024221
874,81.67,82.61461372187219
613,82.67,82.2546974537192
262,83.92,81.82874417239256
555,82.92,81.34878288149761
1205,78.92,80.94776110652516
643,82.58,81.96273597961894
866,81.75,81.57404664618757
699,82.42,81.59802443723231
440,83.17,82.18508891654875
1134,79.92,81.73459135353917
1023,80.92,81.8146561909534
518,83.0,81.43877852070457
310,83.75,82.09909118323122
362,83.5,82.04469416773757
893,81.67,81.78644411806145
1016,80.92,81.61784296154096
62,85.58,82.13523030403827
