,label,predicted
751,82.25,81.40342952220261
973,81.17,81.79706342734092
372,83.5,82.80190425756912
279,83.83,82.17991828191249
769,82.17,81.86597995488806
16,87.42,83.28851807142004
857,81.83,83.00400368063737
818,81.92,82.27233344240257
610,82.67,82.72496361297617
763,82.17,81.26242405837866
990,81.08,81.87992759554012
1270,76.08,81.69113538505314
1272,75.83,82.61826076323064
790,82.08,82.37000615229825
947,81.42,83.8963121645135
1084,80.42,81.41878206637872
691,82.42,83.39268753056476
854,81.83,81.71471980731204
1027,80.92,81.24614346311347
433,83.25,82.36350312306412
827,81.92,80.52515118099402
333,83.67,82.71254494153067
1235,78.0,82.65181307317171
298,83.75,81.9441487754848
1030,80.83,83.48134021987416
341,83.58,85.65328851560427
708,82.33,82.91651797399469
523,83.0,83.39033020398833
259,83.92,81.28848050012805
807,82.0,82.47339803195898
255,84.0,84.0924175583856
354,83.5,83.35653747561537
783,82.08,82.05991720496701
451,83.17,82.34494499465447
1106,80.17,81.41002641589422
272,83.92,81.8858147967194
568,82.83,87.45216484773918
721,82.33,81.27759144751424
49,86.0,84.59549084568779
2,89.75,83.5556259789824
1222,78.5,79.78903576971783
271,83.92,81.94256626735617
917,81.5,81.67515764678936
847,81.83,82.6190377688943
367,83.5,82.36080882929377
478,83.08,83.49412911775055
873,81.67,82.01932315199127
516,83.0,83.35653747561537
598,82.75,83.43950701895552
112,84.92,82.62822547468149
377,83.42,83.26561293313827
80,85.33,84.86360552629746
307,83.75,83.39033020398833
759,82.17,82.24218666382836
774,82.17,81.25239739940585
1089,80.33,82.4167623806425
332,83.67,81.35598268646783
251,84.0,82.19131572810507
100,85.0,84.00406446752856
348,83.58,81.78531722680506
243,84.0,82.37928915164282
21,87.17,82.59664231379755
553,82.92,81.73151460296066
136,84.67,83.4713680261879
1122,80.0,80.9373910620425
1200,79.0,80.11312342000622
848,81.83,81.82268667043334
595,82.75,82.42325121067063
971,81.17,81.41592183609151
330,83.67,82.36350312306412
1288,74.33,81.04486382922921
638,82.58,82.24521853085594
317,83.67,80.9373910620425
1047,80.75,79.40810106706056
1305,69.17,81.37555079916866
156,84.58,83.23722819591676
1033,80.83,81.3510081855501
125,84.67,83.09927520701581
730,82.33,82.02005422204344
1274,75.58,82.36350312306412
870,81.67,82.59969760453943
648,82.58,83.39033020398833
383,83.42,83.71833607032873
773,82.17,81.07917632787478
244,84.0,83.03444675019314
680,82.42,83.44652164839222
1236,78.0,81.4293664496918
603,82.75,83.39268753056476
737,82.25,82.17991828191249
252,84.0,83.38561252710723
153,84.58,83.4896582562049
227,84.17,83.47989586831069
874,81.67,82.80753350446469
613,82.67,82.17991828191249
262,83.92,81.3401832814118
555,82.92,81.07107532472214
1205,78.92,79.17069421537157
643,82.58,82.90224631907162
866,81.75,81.83118787875068
699,82.42,82.55060342951238
440,83.17,82.59969760453943
1134,79.92,82.08075999989721
1023,80.92,80.91800235382806
518,83.0,81.3152215518727
310,83.75,82.93286410462747
362,83.5,82.80209559362817
893,81.67,82.95209500915763
1016,80.92,81.75361315344823
62,85.58,83.23204363901836
1202,79.0,82.07780285211119
1190,79.17,81.07610757339714
305,83.75,83.1797779991121
107,84.92,83.28502510678369
994,81.08,81.28291793258059
967,81.25,81.90409896489454
599,82.75,81.30827291197542
130,84.67,82.50602274582045
1099,80.25,80.77110481732656
919,81.5,81.54149393986673
1149,79.75,83.46818806426974
1036,80.83,82.61792630977183
19,87.25,85.23097715401614
979,81.17,81.90170026952244
1072,80.5,82.72019512416102
90,85.08,86.14292972980346
852,81.83,83.5531842069925
84,85.25,83.37143537993661
622,82.67,83.19161774987332
679,82.42,83.37616510693404
386,83.42,83.28859702172903
465,83.17,79.70368128488292
948,81.42,82.91178896308912
280,83.83,82.04217868436993
1043,80.75,81.45506410918486
863,81.75,80.26124818185106
903,81.58,82.22994527911324
636,82.58,82.73696463789959
543,82.92,84.05997728812045
1091,80.33,82.16406734985702
459,83.17,81.72722233650411
898,81.58,82.33457313775928
312,83.75,83.05903382556745
96,85.0,83.52009948050535
395,83.38,82.78019831281806
349,83.58,83.93130673384827
506,83.0,82.27531062666517
189,84.33,85.43729411126257
1022,80.92,81.46483966213913
535,82.92,83.36670165254863
991,81.08,82.33207362038516
109,84.92,82.06190399879718
131,84.67,85.94116975246483
51,86.0,84.89052959944081
1024,80.92,82.43015246818419
682,82.42,83.48465330022212
1279,75.17,81.43451981090108
1209,78.75,81.06301805359135
35,86.25,84.52042379077758
118,84.83,86.02094125512752
615,82.67,82.06984582765091
944,81.42,82.22994527911324
1168,79.58,82.75154781790395
1010,81.0,82.37571996341013
924,81.5,81.3133352076117
224,84.17,84.02204274660053
