,label,predicted
1109,80.17,80.708466
279,83.83,82.00235
1127,80.0,79.51348
322,83.67,82.83501
794,82.0,79.11882
30,86.58,82.44893
680,82.42,83.793045
1100,80.25,79.50059
1185,79.17,79.86038
964,81.25,78.435646
995,81.08,81.7897
1010,81.0,81.82027
25,86.92,82.04258
1106,80.17,81.179054
484,83.08,82.06923
717,82.33,83.22389
858,81.83,82.5575
661,82.5,82.77571
646,82.58,82.94774
1251,77.5,80.321365
979,81.17,81.6669
688,82.42,82.36207
387,83.42,81.539856
1023,80.92,80.70766
1138,79.92,82.07729
510,83.0,82.38069
52,85.92,80.5215
561,82.83,82.328316
1184,79.17,81.558586
377,83.42,82.876465
1075,80.5,81.69932
363,83.5,83.33742
1180,79.33,77.70837
287,83.83,82.784355
155,84.58,82.82069
645,82.58,81.677574
749,82.25,82.1429
270,83.92,83.26656
751,82.25,80.3634
489,83.08,82.4173
1263,76.42,80.39933
1255,77.33,79.02197
883,81.67,82.10158
107,84.92,82.93039
238,84.08,81.61974
1137,79.92,77.62872
1055,80.67,82.71071
314,83.67,82.27691
285,83.83,82.40845
255,84.0,83.16462
1165,79.58,79.72735
451,83.17,82.26418
261,83.92,82.12528
791,82.08,80.708466
785,82.08,79.525475
196,84.25,84.47887
197,84.25,82.82739
231,84.13,81.89686
716,82.33,82.54606
1266,76.25,81.65388
547,82.92,83.430305
752,82.25,82.88867
857,81.83,82.7455
133,84.67,80.58352
746,82.25,81.91212
491,83.08,81.036255
499,83.0,82.67664
770,82.17,81.034195
1162,79.67,80.39427
1128,80.0,81.04878
1200,79.0,80.73707
216,84.17,82.29181
586,82.75,82.5493
426,83.25,82.99382
936,81.42,81.78886
1024,80.92,83.22389
891,81.67,81.45059
425,83.25,80.14921
860,81.75,82.2817
27,86.83,83.46044
77,85.33,82.76799
1287,74.33,81.48177
253,84.0,83.791145
745,82.25,80.11354
932,81.5,82.70992
1270,76.08,80.98438
4,88.83,87.34567
708,82.33,83.450554
1031,80.83,81.29881
424,83.25,82.212616
780,82.08,82.00235
257,84.0,82.74989
1244,77.92,80.708466
702,82.42,81.735085
744,82.25,81.02509
56,85.83,85.18325
1118,80.08,80.965004
920,81.5,81.94096
283,83.83,80.579605
1195,79.08,78.53394
1093,80.33,85.019295
1092,80.33,81.036255
637,82.58,81.355
677,82.42,81.872475
436,83.25,82.82739
70,85.42,85.18325
653,82.5,82.27691
769,82.17,82.28835
684,82.42,82.17653
604,82.75,81.036255
443,83.17,80.63396
594,82.75,82.80793
518,83.0,80.61096
1067,80.58,82.975395
558,82.92,82.73142
540,82.92,82.904175
128,84.67,81.06551
1177,79.33,82.469376
278,83.83,82.7462
130,84.67,82.40475
448,83.17,83.793045
552,82.92,82.542816
539,82.92,82.4165
143,84.67,83.01761
103,85.0,81.65326
98,85.0,82.24314
923,81.5,80.950066
94,85.08,85.384155
929,81.5,82.31247
199,84.25,83.12489
1054,80.67,80.841
775,82.17,80.95738
867,81.75,82.300514
773,82.17,79.927956
245,84.0,81.539856
59,85.75,83.858894
1299,71.08,79.30076
620,82.67,81.79512
268,83.92,82.92323
828,81.92,79.463844
7,88.67,85.88762
1156,79.75,81.493065
516,83.0,82.534935
833,81.83,82.11665
209,84.25,82.30876
47,86.0,82.30004
1231,78.25,81.29461
1120,80.08,79.52202
536,82.92,82.72424
756,82.17,82.12528
651,82.58,82.82739
167,84.5,82.330765
668,82.5,82.915115
782,82.08,82.00159
695,82.42,80.90485
961,81.33,81.78886
394,83.42,80.718025
663,82.5,80.93341
1021,80.92,81.5028
1283,74.75,78.07223
114,84.92,83.56522
215,84.17,80.59973
179,84.33,83.0784
1289,74.0,80.78417
701,82.42,82.56518
965,81.25,81.24113
713,82.33,81.406784
804,82.0,81.8362
358,83.5,82.494125
848,81.83,82.8723
11,87.92,85.0467
406,83.33,80.58352
8,88.42,85.88762
612,82.67,82.14836
1282,74.83,79.51348
1070,80.5,79.86038
1212,78.67,83.029274
1080,80.42,78.59887
861,81.75,82.02747
37,86.25,82.38715
316,83.67,81.49846
743,82.25,80.4205
1267,76.17,79.611824
454,83.17,81.615135
310,83.75,82.06338
715,82.33,81.77677
631,82.67,82.11689
390,83.42,81.65388
639,82.58,81.29267
1117,80.08,80.7045
546,82.92,82.38069
884,81.67,81.825775
1105,80.17,83.39586
1261,76.75,80.14841
92,85.08,83.147446
204,84.25,82.78481
147,84.58,83.07548
1107,80.17,80.755974
508,83.0,83.02223
942,81.42,81.01768
723,82.33,82.884285
220,84.17,84.763885
1034,80.83,81.07904
818,81.92,81.70766
1219,78.58,81.786285
6,88.75,81.485596
1061,80.58,80.58182
265,83.92,81.3454
1194,79.08,77.264336
957,81.33,81.67496
191,84.25,81.88682
676,82.42,82.24167
553,82.92,81.1729
1176,79.42,79.11865
354,83.5,82.534935
439,83.25,82.34606
498,83.0,83.52974
117,84.83,82.19077
97,85.0,82.93445
284,83.83,81.558586
675,82.42,82.47256
940,81.42,82.24074
398,83.33,82.93445
472,83.17,81.837875
1143,79.83,80.379555
385,83.42,81.854866
1150,79.75,80.7032
502,83.0,82.8779
556,82.92,81.50778
50,86.0,84.82506
89,85.08,82.79371
187,84.33,83.03624
53,85.92,82.794525
664,82.5,82.784355
895,81.58,81.79011
611,82.67,80.95143
905,81.58,82.54623
839,81.83,82.00235
545,82.92,82.6622
927,81.5,80.90305
164,84.5,81.48177
903,81.58,80.93341
831,81.92,82.15722
514,83.0,82.884285
1279,75.17,80.7144
248,84.0,82.64426
312,83.75,82.540855
259,83.92,77.97163
412,83.33,82.99722
485,83.08,80.579605
281,83.83,84.0853
725,82.33,82.74804
1018,80.92,81.632515
783,82.08,82.49139
308,83.75,81.02509
